attack,arm,metric,n,mean,ci95
A2,E,recovery_ratio,5,0.9004354017030822,0.054892392768351526
A2,E,degradation_ratio,5,0.9350247764522056,0.0855145354260228
A2,E,recovery_time_s,5,25.6,40.863163166842575
A2,E,throughput_debt_kbit,5,18047.221759999997,6514.494590650997
A2,E,recovered,5,1.0,0.0
A2,E,isolation_s,5,54.0,11.12
A3,C,tp,5,1.0,0.0
A3,C,fp,5,0.2,0.556
A3,C,tn,5,1.8,0.556
A3,C,fn,5,0.0,0.0
A3,C,accuracy,5,0.9333333333333332,0.18533333333333335
A3,C,precision,5,0.9,0.278
A3,C,recall,5,1.0,0.0
A3,C,f1,5,0.9333333333333332,0.18533333333333335
A3,C,fpr,5,0.1,0.278
A3,C,fnr,5,0.0,0.0
A3,C,isolation_rate,5,1.0,0.0
A3,C,mean_detection_latency_s,5,15.0,0.0
A3,C,baseline_kbps,5,364.544,40.59706184324623
A3,C,attack_kbps,5,336.09280862533694,46.837601364504536
A3,C,recovered_kbps,5,336.09280862533694,46.837601364504536
A3,C,recovery_ratio,5,0.9259366640269672,0.14441235453482595
A3,C,degradation_ratio,5,0.9259366640269672,0.14441235453482595
A3,C,recovery_time_s,0,,
A3,C,throughput_debt_kbit,5,18559.959039999998,14336.147530527845
A3,C,recovered,5,0.0,0.0
A3,C,isolation_s,0,,
A3,D,tp,4,1.0,0.0
A3,D,fp,4,0.25,0.795
A3,D,tn,4,1.75,0.795
A3,D,fn,4,0.0,0.0
A3,D,accuracy,4,0.9166666666666666,0.26500000000000007
A3,D,precision,4,0.875,0.3975
A3,D,recall,4,1.0,0.0
A3,D,f1,4,0.9166666666666666,0.26500000000000007
A3,D,fpr,4,0.125,0.3975
A3,D,fnr,4,0.0,0.0
A3,D,isolation_rate,4,1.0,0.0
A3,D,mean_detection_latency_s,4,15.0,0.0
A3,D,baseline_kbps,4,369.5616,51.16568896808816
A3,D,attack_kbps,1,362.0864,
A3,D,recovered_kbps,4,347.08120460281026,22.40456913527018
A3,D,recovery_ratio,4,0.9437986560322174,0.12886240552558012
A3,D,degradation_ratio,1,0.9724972497249726,
A3,D,recovery_time_s,4,4.5,10.18096753751823
A3,D,throughput_debt_kbit,4,16902.553599999996,9542.356813016024
A3,D,recovered,4,1.0,0.0
A3,D,isolation_s,4,18.75,18.78511711435412
A3,E,tp,4,1.0,0.0
A3,E,fp,4,0.25,0.795
A3,E,tn,4,1.75,0.795
A3,E,fn,4,0.0,0.0
A3,E,accuracy,4,0.9166666666666666,0.26500000000000007
A3,E,precision,4,0.875,0.3975
A3,E,recall,4,1.0,0.0
A3,E,f1,4,0.9166666666666666,0.26500000000000007
A3,E,fpr,4,0.125,0.3975
A3,E,fnr,4,0.0,0.0
A3,E,isolation_rate,4,1.0,0.0
A3,E,mean_detection_latency_s,4,15.0,0.0
A3,E,baseline_kbps,4,370.3808,54.95468129099601
A3,E,attack_kbps,4,376.9685333333334,150.66949853642402
A3,E,recovered_kbps,4,340.7647640449438,49.498983386006955
A3,E,recovery_ratio,4,0.9214584742130866,0.08694843820627014
A3,E,degradation_ratio,4,1.008529803195686,0.3036504131542575
A3,E,recovery_time_s,4,43.75,109.36283840958043
A3,E,throughput_debt_kbit,4,16376.831999999995,8159.934980516985
A3,E,recovered,4,1.0,0.0
A3,E,isolation_s,4,45.0,0.0
