attack,seed,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,isolation_rate,mean_detection_latency_s,baseline_kbps,attack_kbps,recovered_kbps,recovery_ratio,degradation_ratio,recovery_time_s,throughput_debt_kbit,recovered,arm,isolation_s
A2,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,341.1968,294.3820592991913,294.3820592991913,0.8627925563756499,0.8627925563756499,,20160.921599999998,False,C,
A2,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,339.1488,,325.5339574468085,0.9598558433549181,,3.0,11966.8736,True,D,25.0
A2,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,341.1968,335.32586666666674,325.14552492668616,0.9529559624436283,0.982793117246899,6.0,12499.763200000001,True,E,60.0
A3,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,413.696,354.2211967654987,354.2211967654987,0.8562354887779884,0.8562354887779884,,28180.480000000007,False,C,
A3,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,370.2784,,328.5913861892583,0.8874171061267908,,2.0,22618.93119999999,True,D,10.0
A3,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,413.696,448.64853333333343,381.90597752808986,0.923156079652909,1.0844884488448847,146.0,16031.744000000006,True,E,45.0
A3,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,367.12746091644203,367.12746091644203,0.9860366090517407,0.9860366090517407,,12875.775999999996,False,C,
A3,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,362.0864,348.3390601092896,0.935574431760116,0.9724972497249726,0.0,17558.732799999994,True,D,35.0
A3,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,453.8368000000001,346.6067415730337,0.9309217438597792,1.2189218921892193,0.0,16113.663999999993,True,E,45.0
A3,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,366.1824,282.480474393531,282.480474393531,0.771420129404174,0.771420129404174,,32405.094399999987,False,C,
A3,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,407.1424,,362.8991496062992,0.8913322454411508,,2.0,18943.180800000002,True,D,20.0
A3,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,366.1824,351.9829333333334,311.0658876404494,0.8494834477037929,0.9612229679343776,22.0,22951.526399999988,True,E,45.0
A3,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,329.3184,310.92062533692723,310.92062533692723,0.9441337785466201,0.9441337785466201,,15018.393600000001,False,C,
A3,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,328.4992,,348.4952225063939,1.0608708408008114,,14.0,8489.369599999996,True,D,10.0
A3,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,329.3184,253.40586666666664,323.4804494382022,0.9822726256358655,0.769485903814262,7.0,10410.3936,True,E,45.0
A3,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,341.1968,365.7142857142857,365.7142857142857,1.071857314354313,1.071857314354313,,4320.051199999999,False,C,
A3,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,339.1488,,331.27489361702123,0.9767833281940589,,3.0,10398.924799999999,True,D,25.0
A3,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,341.1968,339.1488,341.27964044943815,1.000242793746712,0.9939975990396158,0.0,10092.134399999999,True,E,45.0
