time_s,target,trust_median,n_observers,agreement,loc_available,beh_available,bad_streak,verdict,is_attacker
10.0,0,1.0,6,0.0,True,False,0,normal,0
10.0,1,0.9776173631434496,10,0.1,True,False,0,normal,0
10.0,2,0.9659553554136617,2,0.0,True,False,0,normal,0
15.0,0,0.9998753056617162,11,0.0,True,True,0,normal,0
15.0,1,0.9915933269226538,11,0.09090909090909091,True,False,0,normal,0
15.0,2,0.9120823532059599,8,0.125,True,True,0,normal,0
20.0,0,0.9840872325287418,11,0.0,True,False,0,normal,0
20.0,1,0.9777325056800534,11,0.09090909090909091,True,False,0,normal,0
20.0,2,0.9250015117470631,12,0.0,True,True,0,normal,0
25.0,0,0.5354528722264302,11,0.5454545454545454,True,True,0,suspicious,0
25.0,1,0.9770035635080005,11,0.18181818181818182,True,False,0,normal,0
25.0,2,0.9569531624514573,12,0.0,True,True,0,normal,0
30.0,0,0.8901205736677247,12,0.16666666666666666,True,False,0,normal,0
30.0,1,0.9654936633050918,11,0.09090909090909091,True,True,0,normal,0
30.0,2,0.5767666336946158,12,0.3333333333333333,True,True,0,suspicious,0
35.0,0,0.9294240958421598,12,0.08333333333333333,True,False,0,normal,0
35.0,1,0.9930718374811883,10,0.0,True,False,0,normal,0
35.0,2,0.8013016294600156,12,0.4166666666666667,True,False,0,normal,0
40.0,0,0.946257081117133,12,0.16666666666666666,True,False,0,normal,0
40.0,1,0.9862375001173876,10,0.0,True,False,0,normal,0
40.0,2,0.7912562955812952,12,0.25,True,False,0,normal,0
45.0,0,0.895524592438081,12,0.25,True,False,0,normal,0
45.0,1,0.9812113421907114,10,0.0,True,True,0,normal,0
45.0,2,0.7431774488586804,12,0.08333333333333333,True,False,0,normal,0
50.0,0,0.8959758391067285,13,0.15384615384615385,True,False,0,normal,0
50.0,1,0.9726181010140222,9,0.0,True,False,0,normal,0
50.0,2,0.7758924869862426,14,0.35714285714285715,True,False,0,normal,0
55.0,0,0.5265040940925293,12,0.5,True,True,0,suspicious,0
55.0,1,0.29796478501927826,6,1.0,True,True,1,suspicious,0
55.0,2,0.8161222039294838,12,0.25,True,False,0,normal,0
60.0,0,0.8854487519389664,6,0.0,True,False,0,normal,0
60.0,1,0.885706853247983,7,0.14285714285714285,True,False,0,normal,0
60.0,2,0.8431757910911873,11,0.18181818181818182,True,False,0,normal,0
65.0,0,0.9015212863290215,13,0.15384615384615385,True,False,0,normal,0
65.0,1,0.8670649173679262,10,0.2,True,False,0,normal,0
65.0,2,0.7587098485111703,12,0.3333333333333333,True,False,0,normal,0
70.0,0,0.9066123571060906,13,0.15384615384615385,True,True,0,normal,0
70.0,1,0.8295125537832203,11,0.2727272727272727,True,False,0,normal,0
70.0,2,0.7465889061598743,13,0.23076923076923078,True,False,0,normal,0
75.0,0,0.7817789177659626,12,0.08333333333333333,True,True,0,normal,0
75.0,1,0.2876111731440459,10,0.8,True,True,1,suspicious,0
75.0,2,0.7990483129489185,14,0.21428571428571427,True,False,0,normal,0
80.0,0,0.2852395513996322,12,1.0,True,True,1,suspicious,0
80.0,1,0.5350131900017732,9,0.4444444444444444,True,False,0,suspicious,0
80.0,2,0.7899695630183885,13,0.15384615384615385,True,False,0,normal,0
85.0,0,0.7735348482708613,12,0.25,True,False,0,normal,0
85.0,1,0.6142561236827105,9,0.4444444444444444,True,False,0,suspicious,0
85.0,2,0.8819315490154034,9,0.1111111111111111,True,False,0,normal,0
90.0,0,0.6586134310242617,10,0.2,True,True,0,suspicious,0
90.0,1,0.16984597437503313,8,1.0,True,True,1,suspicious,0
90.0,2,0.8826700258014455,9,0.1111111111111111,True,True,0,normal,0
95.0,0,0.28391255658654296,10,0.7,True,True,1,suspicious,0
95.0,1,0.7831582210188475,10,0.0,True,True,0,normal,0
95.0,2,0.8590195514270007,12,0.0,True,True,0,normal,0
100.0,0,0.788561474819621,10,0.0,True,False,0,normal,0
100.0,1,0.29534280854297784,11,0.9090909090909091,True,True,1,suspicious,0
100.0,2,0.5900084792419129,12,0.25,True,True,0,suspicious,0
105.0,0,0.8339776170045885,7,0.0,True,True,0,normal,0
105.0,1,0.7631211516891675,12,0.0,True,True,0,normal,0
105.0,2,0.8107910805805674,12,0.08333333333333333,True,True,0,normal,0
110.0,0,0.7568112768248509,6,0.16666666666666666,True,True,0,normal,0
110.0,1,0.7887171966692712,13,0.07692307692307693,True,True,0,normal,0
110.0,2,0.8796714386060587,13,0.15384615384615385,True,True,0,normal,0
115.0,0,0.129933583183737,4,1.0,True,True,1,suspicious,0
115.0,1,0.8006104431246266,13,0.15384615384615385,True,False,0,normal,0
115.0,2,0.8941523641881186,13,0.07692307692307693,True,True,0,normal,0
120.0,0,0.7503201590790182,3,0.0,True,False,0,normal,0
120.0,1,0.798093090258198,13,0.15384615384615385,True,False,0,normal,0
120.0,2,0.8636136748349852,12,0.08333333333333333,True,True,0,normal,0
125.0,0,0.767703781798981,3,0.0,True,False,0,normal,0
125.0,1,0.7489766285033088,14,0.21428571428571427,True,True,0,normal,0
