time_s,target,trust_median,n_observers,agreement,loc_available,beh_available,bad_streak,verdict,is_attacker
140.0,2,0.7263478035283835,13,0.23076923076923078,True,False,0,normal,0
145.0,0,0.8960459300409316,11,0.0,True,True,0,normal,0
145.0,1,0.8502989289947173,8,0.25,True,False,0,normal,0
145.0,2,0.9030040199515301,12,0.16666666666666666,True,False,0,normal,0
150.0,0,0.8818791391232351,11,0.0,True,True,0,normal,0
150.0,1,0.8312405158541948,5,0.2,True,False,0,normal,0
150.0,2,0.9205100486091553,11,0.0,True,False,0,normal,0
155.0,0,0.864679230301098,12,0.16666666666666666,True,True,0,normal,0
155.0,1,0.7298884281471454,5,0.0,True,True,0,normal,0
155.0,2,0.8168437355442737,13,0.15384615384615385,True,False,0,normal,0
160.0,0,0.5116296756891354,12,0.4166666666666667,True,True,0,suspicious,0
160.0,1,0.8821389442807835,6,0.0,True,True,0,normal,0
160.0,2,0.7363227685903171,13,0.15384615384615385,True,True,0,normal,0
165.0,0,0.7929633027837774,11,0.18181818181818182,True,True,0,normal,0
165.0,1,0.8917056524375102,6,0.0,True,True,0,normal,0
165.0,2,0.803998654533666,12,0.0,True,True,0,normal,0
170.0,0,0.8082459059463047,10,0.3,True,False,0,normal,0
170.0,1,0.8482227642213239,7,0.0,True,True,0,normal,0
170.0,2,0.8066895519132202,11,0.09090909090909091,True,True,0,normal,0
175.0,0,0.8589608350409883,6,0.0,True,False,0,normal,0
175.0,1,0.7817939428363077,7,0.2857142857142857,True,False,0,normal,0
175.0,2,0.8633480240871934,6,0.16666666666666666,True,True,0,normal,0
180.0,0,0.8824460052614749,6,0.0,True,False,0,normal,0
180.0,1,0.7627228535191725,9,0.3333333333333333,True,False,0,normal,0
180.0,2,0.8745696407502569,6,0.16666666666666666,True,False,0,normal,0
185.0,0,0.9065830914087261,5,0.0,True,False,0,normal,0
185.0,1,0.7107121291158518,10,0.2,True,True,0,normal,0
185.0,2,0.8625114217568003,5,0.0,True,False,0,normal,0
190.0,0,0.8193329592540485,4,0.0,True,False,0,normal,0
190.0,1,0.8727478803323796,9,0.1111111111111111,True,True,0,normal,0
190.0,2,0.803512909187974,4,0.25,True,False,0,normal,0
195.0,0,0.8918349444726698,3,0.0,True,False,0,normal,0
195.0,1,0.8977090391852273,12,0.0,True,True,0,normal,0
195.0,2,0.8333994024286716,4,0.25,True,False,0,normal,0
200.0,0,0.8854694120619184,2,0.0,True,False,0,normal,0
200.0,1,0.8836103339387756,12,0.0,True,True,0,normal,0
200.0,2,0.842566202975032,5,0.0,True,True,0,normal,0
205.0,0,0.8934865532175842,2,0.0,True,False,0,normal,0
205.0,1,0.7615569001394883,13,0.23076923076923078,True,True,0,normal,0
205.0,2,0.8853197741962437,5,0.0,True,False,0,normal,0
210.0,0,0.9009424944923532,2,0.0,True,False,0,normal,0
210.0,1,0.38525302346305357,11,0.5454545454545454,True,True,1,suspicious,0
210.0,2,0.2503561163170584,6,0.8333333333333334,True,True,1,suspicious,0
215.0,0,0.8533053578147604,3,0.0,True,False,0,normal,0
215.0,1,0.8542525963623864,11,0.09090909090909091,True,False,0,normal,0
215.0,2,0.7110955089928175,4,0.0,True,True,0,normal,0
220.0,0,0.7766040713877322,4,0.25,True,False,0,normal,0
