time_s,target,trust_median,n_observers,agreement,loc_available,beh_available,bad_streak,verdict,is_attacker
10.0,0,1.0,1,0.0,True,False,0,normal,0
10.0,1,0.4321354175993859,3,0.3333333333333333,True,False,0,suspicious,0
10.0,2,1.0,4,0.0,True,False,0,normal,0
15.0,0,0.9909157993130848,9,0.0,True,True,0,normal,0
15.0,1,0.6527660703366656,8,0.25,True,True,0,suspicious,0
15.0,2,0.9737169066873451,10,0.2,True,False,0,normal,0
20.0,0,0.9972721531191158,9,0.1111111111111111,True,False,0,normal,0
20.0,1,0.6717759478867038,10,0.2,True,True,0,suspicious,0
20.0,2,0.981359362224379,10,0.0,True,False,0,normal,0
25.0,0,0.9873134089688689,8,0.125,True,False,0,normal,0
25.0,1,0.7629077006536246,11,0.09090909090909091,True,True,0,normal,0
25.0,2,0.9845322463247367,10,0.0,True,False,0,normal,0
30.0,0,0.9886888779978782,9,0.0,True,False,0,normal,0
30.0,1,0.8163024793544595,8,0.0,True,True,0,normal,0
30.0,2,0.9925047948428616,9,0.0,True,False,0,normal,0
35.0,0,0.9760031270376708,10,0.1,True,False,0,normal,0
35.0,1,0.8102568684715424,10,0.3,True,False,0,normal,0
35.0,2,0.9826434926116021,9,0.0,True,False,0,normal,0
40.0,0,0.95828509146882,10,0.1,True,False,0,normal,0
40.0,1,0.8696644859808075,11,0.0,True,False,0,normal,0
40.0,2,0.9884012548130975,9,0.0,True,False,0,normal,0
45.0,0,0.831299111328629,11,0.18181818181818182,True,True,0,normal,0
45.0,1,0.364398621702801,10,1.0,True,True,1,suspicious,0
45.0,2,0.45918210058796693,8,0.75,True,True,0,suspicious,0
50.0,0,0.8859373982926714,11,0.18181818181818182,True,True,0,normal,0
50.0,1,0.8083301679758701,10,0.2,True,True,0,normal,0
50.0,2,0.7689236910298725,8,0.125,True,False,0,normal,0
55.0,0,0.8332713842214137,13,0.0,True,True,0,normal,0
55.0,1,0.8037449558689622,10,0.2,True,True,0,normal,0
55.0,2,0.528343860393313,8,0.5,True,True,0,suspicious,0
60.0,0,0.8942205895287463,12,0.0,True,True,0,normal,0
60.0,1,0.7901394248781555,10,0.2,True,True,0,normal,0
60.0,2,0.8345950168731073,8,0.0,True,True,0,normal,0
65.0,0,0.6977202327628922,12,0.25,True,True,0,suspicious,0
65.0,1,0.8344891289044134,9,0.1111111111111111,True,False,0,normal,0
65.0,2,0.8670968948708575,8,0.0,True,False,0,normal,0
70.0,0,0.8629828728733018,13,0.15384615384615385,True,True,0,normal,0
70.0,1,0.8523034862869209,9,0.0,True,True,0,normal,0
70.0,2,0.1792606014389231,9,1.0,True,True,1,suspicious,0
75.0,0,0.8606700542124763,11,0.0,True,True,0,normal,0
75.0,1,0.8574945196180808,10,0.0,True,True,0,normal,0
75.0,2,0.7740325824287978,8,0.0,True,False,0,normal,0
80.0,0,0.8288783477449726,8,0.0,True,True,0,normal,0
80.0,1,0.8542626871402743,10,0.0,True,True,0,normal,0
80.0,2,0.7731274631780832,8,0.25,True,True,0,normal,0
85.0,0,0.8209081192355898,9,0.3333333333333333,True,False,0,normal,0
85.0,1,0.8623987296985902,8,0.0,True,True,0,normal,0
85.0,2,0.7793319449797276,8,0.0,True,True,0,normal,0
90.0,0,0.7490513482810721,10,0.3,True,False,0,normal,0
90.0,1,0.9210518807477326,6,0.0,True,True,0,normal,0
90.0,2,0.7566158353900538,8,0.0,True,True,0,normal,0
95.0,0,0.808335665093533,9,0.1111111111111111,True,False,0,normal,0
95.0,1,0.9239759770106938,5,0.0,True,True,0,normal,0
95.0,2,0.796215032757851,7,0.0,True,True,0,normal,0
100.0,0,0.8671077030579744,8,0.0,True,False,0,normal,0
100.0,1,0.263187044362641,6,1.0,True,True,1,suspicious,0
100.0,2,0.8120267290234164,7,0.0,True,True,0,normal,0
105.0,0,0.8767132520968914,8,0.125,True,False,0,normal,0
105.0,1,0.14934546270020502,7,1.0,True,True,2,suspicious,0
105.0,2,0.8666673594458505,4,0.0,True,False,0,normal,0
110.0,0,0.8537102750094587,8,0.125,True,False,0,normal,0
110.0,1,0.09707455075513326,7,1.0,True,True,3,confirmed,0
